	20	32	
0xed38.png	ed38	60728	
0xed39.png	ed39	60729	
0xed3a.png	ed3a	60730	
0xed3b.png	ed3b	60731	
0xed3c.png	ed3c	60732	
0xed3d.png	ed3d	60733	
0xed3e.png	ed3e	60734	
0xed3f.png	ed3f	60735	
0xed40.png	ed40	60736	
0xed41.png	ed41	60737	
0xed42.png	ed42	60738	
0xed43.png	ed43	60739	
0xed44.png	ed44	60740	
0xed45.png	ed45	60741	
0xed46.png	ed46	60742	
0xed47.png	ed47	60743	
0xed48.png	ed48	60744	
0xed49.png	ed49	60745	
0xed4a.png	ed4a	60746	
0xed4b.png	ed4b	60747	
0xed50.png	ed50	60752	
0xed51.png	ed51	60753	
0xed52.png	ed52	60754	
0xed53.png	ed53	60755	
0xed54.png	ed54	60756	
0xed55.png	ed55	60757	
0xed56.png	ed56	60758	
0xed57.png	ed57	60759	
0xed58.png	ed58	60760	
0xed59.png	ed59	60761	
0xed5a.png	ed5a	60762	
0xed5b.png	ed5b	60763	
0xf021.png	f021	61473	
0xf023.png	f023	61475	
0xf024.png	f024	61476	
0xf025.png	f025	61477	
0xf026.png	f026	61478	
0xf028.png	f028	61480	
0xf029.png	f029	61481	
0xf02a.png	f02a	61482	
0xf02b.png	f02b	61483	
0xf02c.png	f02c	61484	
0xf02d.png	f02d	61485	
0xf02e.png	f02e	61486	
0xf02f.png	f02f	61487	
0xf030.png	f030	61488	
0xf031.png	f031	61489	
0xf032.png	f032	61490	
0xf033.png	f033	61491	
0xf034.png	f034	61492	
0xf035.png	f035	61493	
0xf036.png	f036	61494	
0xf037.png	f037	61495	
0xf038.png	f038	61496	
0xf039.png	f039	61497	
0xf03a.png	f03a	61498	
0xf03b.png	f03b	61499	
0xf03c.png	f03c	61500	
0xf03d.png	f03d	61501	
0xf03e.png	f03e	61502	
0xf03f.png	f03f	61503	
0xf040.png	f040	61504	
0xf041.png	f041	61505	
0xf042.png	f042	61506	
0xf043.png	f043	61507	
0xf044.png	f044	61508	
0xf045.png	f045	61509	
0xf046.png	f046	61510	
0xf047.png	f047	61511	
0xf048.png	f048	61512	
0xf049.png	f049	61513	
0xf04a.png	f04a	61514	
0xf04b.png	f04b	61515	
0xf04c.png	f04c	61516	
0xf04d.png	f04d	61517	
0xf04e.png	f04e	61518	
0xf04f.png	f04f	61519	
0xf050.png	f050	61520	
0xf051.png	f051	61521	
0xf052.png	f052	61522	
0xf053.png	f053	61523	
0xf054.png	f054	61524	
0xf055.png	f055	61525	
